asset_class,gamma,skill,overconfidence,strategy,cagr,cagr_mean,volatility,sharpe,sharpe_p25,sharpe_p75,sortino,max_drawdown,final_multiple,effective_n,turnover,n,beat_risk_only,beat_market_hold,beat_risk_only_cagr,beat_market_hold_cagr
equities,1.2,0.2,2.0,risk_only,0.13477479333092202,0.1286509297403245,0.26670308279795807,0.44979510366716813,0.2695294930919465,0.6399254587037934,0.7516994286408649,-0.3696834808299144,1.6575375820884322,4.293553439665313,0.017947018026381822,40,0.0,0.65,0.0,0.625
equities,1.2,0.2,2.0,views_calibrated_conf,0.14769604921234147,0.14076242417308854,0.2601958153157665,0.5018219536010772,0.2986441127277737,0.5880142382079487,0.8509695091019127,-0.3406399045711713,1.734128948818767,3.7974371264409497,0.33389192851356975,40,0.675,0.725,0.65,0.7
equities,1.2,0.2,2.0,views_full_conf,0.1208358090685211,0.1388148669631386,0.2520468478715272,0.4274519380538496,0.2809864122504722,0.6562121951380189,0.7043314230261237,-0.32766221473726487,1.5775354328201663,3.1438323088310356,0.468223850876543,40,0.625,0.675,0.625,0.625
equities,1.2,0.2,2.0,views_stated_conf,0.11878784135520637,0.14035423799334545,0.25221066889171556,0.416367348786932,0.301816491371558,0.6464369894382871,0.7010262148965498,-0.3309343335357049,1.5660434618176207,3.2067704664107843,0.4666845977719441,40,0.675,0.65,0.675,0.625
equities,1.2,0.4,1.0,equal_weight,0.12341059365887486,0.12675011450781187,0.2256558477961915,0.46851391738540443,0.3248717034062219,0.642302409312645,0.784591379980037,-0.2855686051005571,1.5920383947690195,5.999999999999999,0.0,40,0.625,0.7,0.425,0.6
equities,1.2,0.4,1.0,market_hold,0.12306716854170785,0.1049495198569231,0.3366874814448674,0.42907420899583437,0.22398392939148923,0.5363240853411446,0.7176054294318316,-0.4283798073581172,1.5901201847861306,1.0,0.0,40,0.35,0.0,0.375,0.0
equities,1.2,0.4,1.0,risk_only,0.13477479333092202,0.1286509297403245,0.26670308279795807,0.44979510366716813,0.2695294930919465,0.6399254587037934,0.7516994286408649,-0.3696834808299144,1.6575375820884322,4.293553439665313,0.017947018026381822,40,0.0,0.65,0.0,0.625
equities,1.2,0.4,1.0,views_calibrated_conf,0.16141666170482105,0.16535440143735175,0.2553468765283427,0.5923195445157929,0.4012606682746331,0.7059463426316521,1.005028574170749,-0.32592716074216593,1.818430796293911,3.652687660247902,0.3637576848924984,40,0.8,0.8,0.775,0.8
equities,1.2,0.4,1.0,views_full_conf,0.1774450821133251,0.16829452555101318,0.25314459160508607,0.6028328857890977,0.40550617796736227,0.7491245663980257,0.992410595918626,-0.31820246476910863,1.9208132849076116,3.144271071069781,0.4738333225871292,40,0.8,0.8,0.8,0.8
equities,1.2,0.4,1.0,views_stated_conf,0.17129125519787225,0.17142641905982908,0.25230256019003205,0.5978127564794287,0.46386600577103315,0.7793718413778632,1.0068308760147011,-0.320141937022459,1.8811861491381638,3.309152694487553,0.445856012233948,40,0.775,0.825,0.75,0.8
equities,1.2,0.4,2.0,equal_weight,0.12341059365887486,0.12675011450781187,0.2256558477961915,0.46851391738540443,0.3248717034062219,0.642302409312645,0.784591379980037,-0.2855686051005571,1.5920383947690195,5.999999999999999,0.0,40,0.625,0.7,0.425,0.6
